,City,Country ID,Temperature,Latitude,Longitude,Humidity,Cloudiness,Wind Speed (mph)
323,Kurilsk,RU,32.48,45.23,147.88,98,92,5.41
324,Kuytun,RU,6.2,54.34,101.51,78,80,3.62
325,Kyabram,AU,62.32,-36.31,145.05,86,8,9.22
326,La Ronge,CA,10.4,55.1,-105.3,78,90,13.87
327,Labuhan,ID,73.12,-2.54,115.51,97,88,0.6
328,Ladozhskaya,RU,44.6,45.31,39.93,87,0,8.95
329,Lagoa,PT,59,37.14,-8.45,41,0,13.87
330,Laguna,MX,75.2,27.52,-110.01,36,5,9.17
331,Lakes Entrance,AU,66.68,-37.88,147.99,94,56,15.14
332,Lao Cai,VN,51.07,22.48,103.95,95,68,1.5
333,Lasa,CY,62.6,34.92,32.53,82,92,8.05
334,Lavrentiya,RU,29.47,65.58,-170.99,97,92,14.03
335,Lazaro Cardenas,MX,64.4,28.39,-105.62,34,5,4.7
336,Le Port,FR,11.6,42.87,1.37,78,0,2.39
337,Lebu,ET,53.72,8.96,38.73,34,0,6.42
338,Ledyard,US,49.32,41.44,-72.02,87,88,8.05
339,Leningradskiy,RU,16.19,69.38,178.42,100,80,2.28
340,Lermontovka,RU,-1.95,47.15,134.34,58,0,7.87
341,Leshukonskoye,RU,17.18,64.9,45.76,86,80,4.97
342,Lethem,GY,91.93,3.38,-59.8,44,24,18.5
343,Lhokseumawe,ID,80.54,5.18,97.15,100,0,3.62
344,Lichuan,CN,31.04,30.3,108.94,87,92,2.17
345,Lisakovsk,KZ,11.92,52.55,62.49,81,76,6.64
346,Liverpool,GB,47.28,53.41,-2.98,87,75,11.41
347,Llanes,ES,36.53,43.42,-4.75,93,88,2.62
348,Locri,IT,53.6,38.24,16.26,50,40,13.87
349,Lodja,CD,76.58,-3.52,23.6,85,32,2.84
350,Lompoc,US,54.88,34.64,-120.46,87,75,10.29
351,Longyearbyen,NO,32,78.22,15.63,93,75,3.36
352,Lorengau,PG,83.47,-2.02,147.27,100,80,15.03
353,Loreto,PY,85.49,-23.27,-57.32,100,32,5.41
354,Los Llanos de Aridane,ES,66.2,28.66,-17.92,72,75,18.34
355,Luderitz,NA,69.8,-26.65,15.16,64,92,28.86
356,Luganville,VU,79.96,-15.51,167.18,100,0,9.78
357,Lumsden,CA,3.2,50.65,-104.86,65,90,13.87
358,Lusambo,CD,79.28,-4.97,23.44,76,8,2.73
359,Lypova Dolyna,UA,32.39,50.56,33.8,96,92,12.01
360,Mabaruma,GY,80.77,8.2,-59.78,79,88,8.77
361,Macia,MZ,78.38,-25.03,33.09,80,0,10.22
362,Macon,US,61.11,32.84,-83.63,100,90,6.93
363,Macusani,PE,53.32,-14.07,-70.43,100,92,2.62
364,Mae Sai,MM,62.6,20.44,99.89,82,0,2.24
365,Mahebourg,MU,77.71,-20.41,57.7,98,32,2.73
366,Maiduguri,NG,85.45,11.84,13.15,46,0,3.85
367,Maine-Soroa,NE,85.22,13.21,12.02,42,0,2.62
368,Makakilo City,US,65.37,21.35,-158.09,68,75,3.36
369,Malanje,AO,76.13,-9.54,16.35,63,12,6.2
370,Maldonado,UY,75.2,-34.91,-54.96,50,20,8.05
371,Maltahohe,NA,68.84,-24.83,16.98,64,92,10
372,Mancora,PE,87.8,-4.1,-81.05,43,0,10.29
373,Manggar,ID,77.39,-2.88,108.27,91,92,7.54
374,Mangrol,IN,65.24,25.33,76.51,37,36,12.57
375,Manicore,BR,83.6,-5.81,-61.3,72,76,5.97
376,Manono,CD,72.13,-7.3,27.4,94,48,6.42
377,Manta,RO,28.79,45.1,24.1,90,8,4.29
378,Mar del Plata,AR,58.22,-46.43,-67.52,48,64,14.92
379,Marawi,PH,63.89,8,124.29,92,20,2.17
