,City,Country ID,Temperature,Latitude,Longitude,Humidity,Cloudiness,Wind Speed (mph),Requested URL
136,Celestun,MX,77.3,20.87,-90.4,92,64,4.97,http://api.openweathermap.org/data/2.5/weather?appid=235e7cfc83c5d67891e91001012db21f&q=celestun&units=imperial
137,Chabahar,IR,70.33,25.29,60.65,97,0,9.22,http://api.openweathermap.org/data/2.5/weather?appid=235e7cfc83c5d67891e91001012db21f&q=chabahar&units=imperial
138,Chalmette,US,73.4,29.94,-89.96,73,40,16.11,http://api.openweathermap.org/data/2.5/weather?appid=235e7cfc83c5d67891e91001012db21f&q=chalmette&units=imperial
139,Chama,ZM,65.83,-11.22,33.16,97,92,7.65,http://api.openweathermap.org/data/2.5/weather?appid=235e7cfc83c5d67891e91001012db21f&q=chama&units=imperial
140,Chaman,AF,28.79,30.92,66.46,81,48,2.62,http://api.openweathermap.org/data/2.5/weather?appid=235e7cfc83c5d67891e91001012db21f&q=chaman&units=imperial
141,Champerico,MX,78.8,16.38,-93.6,57,20,3.36,http://api.openweathermap.org/data/2.5/weather?appid=235e7cfc83c5d67891e91001012db21f&q=champerico&units=imperial
142,Chapais,CA,8.6,49.78,-74.86,65,20,11.41,http://api.openweathermap.org/data/2.5/weather?appid=235e7cfc83c5d67891e91001012db21f&q=chapais&units=imperial
143,Charters Towers,AU,63.22,-20.07,146.27,90,0,2.84,http://api.openweathermap.org/data/2.5/weather?appid=235e7cfc83c5d67891e91001012db21f&q=charters towers&units=imperial
144,Chernyshevskiy,RU,-10.86,63.01,112.47,71,44,5.41,http://api.openweathermap.org/data/2.5/weather?appid=235e7cfc83c5d67891e91001012db21f&q=chernyshevskiy&units=imperial
145,Cherskiy,RU,-0.06,68.75,161.3,75,68,6.64,http://api.openweathermap.org/data/2.5/weather?appid=235e7cfc83c5d67891e91001012db21f&q=cherskiy&units=imperial
146,Chibuto,MZ,83.38,-24.69,33.53,60,24,12.57,http://api.openweathermap.org/data/2.5/weather?appid=235e7cfc83c5d67891e91001012db21f&q=chibuto&units=imperial
147,Chicama,PE,73.4,-7.84,-79.15,78,0,11.41,http://api.openweathermap.org/data/2.5/weather?appid=235e7cfc83c5d67891e91001012db21f&q=chicama&units=imperial
148,Chimbote,PE,73.97,-9.08,-78.59,78,12,5.41,http://api.openweathermap.org/data/2.5/weather?appid=235e7cfc83c5d67891e91001012db21f&q=chimbote&units=imperial
149,Chipinge,ZW,71.95,-20.19,32.62,86,64,2.73,http://api.openweathermap.org/data/2.5/weather?appid=235e7cfc83c5d67891e91001012db21f&q=chipinge&units=imperial
