,Account Name,Tweet Text,Compound Score,Positive Score,Neutral Score,Negative Score,Date
55,BBC News (World),Rose Marie: Dick Van Dyke Show star dies at 94 https://t.co/QiwwNhmzjF,-0.5106,0.0,0.752,0.248,Fri Dec 29 10:33:42 +0000 2017
56,BBC News (World),North Korea: South seizes ship amid row over illegal oil transfer https://t.co/6YOSROfug2,-0.5574,0.0,0.753,0.247,Fri Dec 29 10:26:51 +0000 2017
57,BBC News (World),Egypt attack: Gunman attacks church in southern Cairo https://t.co/asf7InWyjg,-0.7184,0.0,0.538,0.462,Fri Dec 29 10:26:51 +0000 2017
58,BBC News (World),South African court delivers Zuma impeachment blow https://t.co/niH1ypyCJs,0.0,0.0,1.0,0.0,Fri Dec 29 10:06:54 +0000 2017
59,BBC News (World),Jessica Falkholt: Home and Away star's sister dies in crash https://t.co/FHE1SfEtJs,-0.4019,0.0,0.787,0.213,Fri Dec 29 09:44:58 +0000 2017
60,BBC News (World),Philippine Police kill two mistaking them for gunmen https://t.co/jqYGeDL2Ly,-0.7783,0.0,0.507,0.493,Fri Dec 29 09:44:58 +0000 2017
61,BBC News (World),Exmo Bitcoin exchange manager kidnapped in Kiev https://t.co/NfNLTbDHpM,0.0,0.0,1.0,0.0,Fri Dec 29 09:44:55 +0000 2017
62,BBC News (World),Syria war: Evacuations of critically ill people completed https://t.co/XU28KLVLNF,-0.7717,0.0,0.511,0.489,Fri Dec 29 09:32:13 +0000 2017
63,BBC News (World),"RT @BBCNews: Gone but not forgotten: Notable deaths of 2017

https://t.co/qhnhXXfg4W https://t.co/HaFY8aVOoj",0.2498,0.154,0.846,0.0,Fri Dec 29 08:58:42 +0000 2017
64,BBC News (World),RT @BBCNewsAsia: Jessica Falkholt: Home and Away star's sister dies in crash https://t.co/BIGToXCqHS,-0.4019,0.0,0.816,0.184,Fri Dec 29 08:53:30 +0000 2017
65,BBC News (World),Bronx fire: 12 dead and four critically injured in New York City's worst fire tragedy in decades… https://t.co/mFd8pwP1m6,-0.9652,0.0,0.372,0.628,Fri Dec 29 08:01:05 +0000 2017
66,BBC News (World),Russia inquiry: Trump believes he will be treated 'fairly' https://t.co/wHmcZSrUDt,0.0,0.0,1.0,0.0,Fri Dec 29 07:44:41 +0000 2017
67,BBC News (World),National Archives: Thatcher refused to share flight with panda https://t.co/DUxeHIMo3Z,0.0,0.177,0.645,0.177,Fri Dec 29 05:50:07 +0000 2017
