,Account Name,Tweet Text,Compound Score,Positive Score,Neutral Score,Negative Score,Date
40,Fox News,"Jonathan Turley on Robert Mueller: ""If you're gonna take on a president, you better do it right and I think he will… https://t.co/MxKYPKIbnd",0.4404,0.127,0.873,0.0,Sat Dec 30 00:20:13 +0000 2017
41,Fox News,"Jonathan Turley on Robert Mueller: ""I think that he will do a fair job. If nothing else, history will be his judge… https://t.co/30EAFg5QbM",0.3182,0.099,0.901,0.0,Sat Dec 30 00:19:24 +0000 2017
42,Fox News,".@RepMattGaetz on Russia probe: ""I think that if you're picking a number 2, there are a lot of talented prosecutors… https://t.co/s9yK0LRiVb",0.5574,0.213,0.787,0.0,Sat Dec 30 00:16:42 +0000 2017
43,Fox News,".@RepMattGaetz on @POTUS interview with NYT: ""What's most important about President @realDonaldTrump's interview...… https://t.co/A3hcAU6iK5",0.2716,0.139,0.861,0.0,Sat Dec 30 00:12:50 +0000 2017
44,Fox News,Kansas police investigate whether fatal shooting was result of prank called 'swatting' https://t.co/qKbso4ifof,-0.5423,0.0,0.774,0.226,Sat Dec 30 00:08:45 +0000 2017
45,Fox News,"Earlier today, former President @BarackObama took to Twitter to send out a message of encouragement for 2018. https://t.co/WMoHRdKtbv",0.4215,0.149,0.851,0.0,Fri Dec 29 23:50:39 +0000 2017
46,Fox News,"Ringo Starr, Barry Gibb tapped by Queen Elizabeth for British knighthood https://t.co/6ygrrKHQyL",0.0,0.0,1.0,0.0,Fri Dec 29 23:44:05 +0000 2017
47,Fox News,"""[#Trump's] moving at a business pace, not a bureaucratic pace. "" —@sendavidperdue on @POTUS' ability to make progr… https://t.co/TW4hGKT5H3",0.3182,0.133,0.867,0.0,Fri Dec 29 23:27:36 +0000 2017
48,Fox News,".@sendavidperdue after meeting with @POTUS: ""This president is very excited about the future of our country now tha… https://t.co/yhKYhhe560",0.4005,0.13,0.87,0.0,Fri Dec 29 23:18:17 +0000 2017
49,Fox News,.@POTUS on track to be first president in decades to skip California visit in initial year  https://t.co/ni4DznRoHl,0.0,0.0,1.0,0.0,Fri Dec 29 23:08:50 +0000 2017
50,Fox News,Ring in the New Year with Fox News Channel! The party starts Sunday at 8p ET. @kennedynation @JesseBWatters… https://t.co/7WsLY3i0y1,0.4574,0.143,0.857,0.0,Fri Dec 29 23:00:05 +0000 2017
51,Fox News,.@DonaldJTrumpJr posted a picture on Instagram of @realDonaldTrump having fun with his son Barron and grandchildren… https://t.co/nzJrBZ8yXE,0.5106,0.18,0.82,0.0,Fri Dec 29 22:59:00 +0000 2017
52,Fox News,OPINION: Will Nikki Haley be America's first female president? (via @FoxNewsOpinion) https://t.co/HFjpkiw56R,0.0,0.0,1.0,0.0,Fri Dec 29 22:50:00 +0000 2017
53,Fox News,".@KennedyNation on climate change science: ""The part that we can control, we have to look at that logically &amp; ratio… https://t.co/RSpMtdOt2c",0.0,0.0,1.0,0.0,Fri Dec 29 22:38:55 +0000 2017
54,Fox News,Professor who blamed 'Trumpism' for Las Vegas massacre resigns https://t.co/cqdmXa6WCg,-0.6597,0.0,0.597,0.403,Fri Dec 29 22:27:00 +0000 2017
55,Fox News,"When asked Friday about the development of North Korea’s missile program, Defense Secretary James Mattis told Fox N… https://t.co/IIDpzQGRUd",0.128,0.077,0.923,0.0,Fri Dec 29 22:13:42 +0000 2017
56,Fox News,".@POTUS ramps up Border Patrol recruitment, in bid to hire thousands of new agents https://t.co/D3A62miXCi",0.0,0.0,1.0,0.0,Fri Dec 29 22:10:00 +0000 2017
57,Fox News,OPINION: Iran is being rocked by anti-government protests. Here's why demonstrators deserve @realDonaldTrump's supp… https://t.co/HGNbt1ye3T,-0.2263,0.0,0.881,0.119,Fri Dec 29 22:02:16 +0000 2017
58,Fox News,"Gordon Chang on @POTUS warning to China about NoKo oil sales: ""A trade war is a lot better than a real war.""… https://t.co/jZTECrJ3ZT",-0.5267,0.107,0.662,0.232,Fri Dec 29 21:52:14 +0000 2017
59,Fox News,"Gordon Chang on @POTUS tweet to China: ""It's really good that you have an American leader Calling out the Chinese f… https://t.co/lmj2PDSkjT",0.4927,0.132,0.868,0.0,Fri Dec 29 21:49:01 +0000 2017
60,Fox News,Sue Grafton dead: Authors react to loss of Kinsey Millhone Alphabet Series author https://t.co/zEhy7mtp1S,-0.765,0.0,0.645,0.355,Fri Dec 29 21:46:04 +0000 2017
61,Fox News,"Ed Day on Times Square security on #NewYearsEve: ""We would rather as police officers hear a suspicious act that you… https://t.co/3RpjBfFTCN",-0.0258,0.105,0.786,0.109,Fri Dec 29 21:45:25 +0000 2017
62,Fox News,".@AlanDersh on Robert Mueller: ""I think he's a zealous prosecutor and if he were going after @HillaryClinton, he'd… https://t.co/y8aB2N2A1d",0.128,0.081,0.919,0.0,Fri Dec 29 21:41:15 +0000 2017
63,Fox News,".@AlanDersh on Robert Mueller: ""I don't think he's partisan, I don't think he cares whether the Democrats or the Re… https://t.co/D3yU9P2wvn",-0.357,0.0,0.885,0.115,Fri Dec 29 21:37:14 +0000 2017
64,Fox News,".@AlanDersh on Russia probe: ""If the president and his campaign say to the Russians, 'look if you help me get elect… https://t.co/tnnvBxcjJT",0.4019,0.114,0.886,0.0,Fri Dec 29 21:33:17 +0000 2017
65,Fox News,".@AlanDersh on Russia probe: ""Before something can be a crime you have to find a provision in the federal criminal… https://t.co/JxwWj48s1S",-0.5423,0.0,0.837,0.163,Fri Dec 29 21:30:51 +0000 2017
66,Fox News,".@RepAndyBiggsAZ on Mueller investigation: ""Even if he never resigns, the outcome is going to be tainted either way… https://t.co/tkX4PHtRkg",0.2411,0.098,0.902,0.0,Fri Dec 29 21:24:41 +0000 2017
67,Fox News,".@POTUS ramps up Border Patrol recruitment, in bid to hire thousands of new agents https://t.co/hDD0VKxQoJ",0.0,0.0,1.0,0.0,Fri Dec 29 21:18:42 +0000 2017
68,Fox News,"Hitha Herzog on stocks in 2018: ""We've seen an upward trajectory since 2008. I'm not predicting that we're gonna ha… https://t.co/cyXkyDeR3K",0.0,0.0,1.0,0.0,Fri Dec 29 21:15:37 +0000 2017
69,Fox News,"Gary B. Smith on stocks in 2018: ""Across the board we're seeing some great things... I think 2018's really gonna be… https://t.co/bFtuiPjxCN",0.6249,0.17,0.83,0.0,Fri Dec 29 21:09:10 +0000 2017
70,Fox News,"Gary B. Smith on stocks in 2018: ""We finally have GDP growth back over 3 percent. We have unemployment super low. W… https://t.co/tbKZt2C69c",0.3612,0.22,0.61,0.169,Fri Dec 29 21:04:26 +0000 2017
71,Fox News,".@GiannoCaldwell: 'The Wall Is Not Divisive, It Was Supported by Hillary &amp; Obama' https://t.co/uRguO2voYl",0.3182,0.15,0.85,0.0,Fri Dec 29 21:00:38 +0000 2017
72,Fox News,".@Apple apologizes for slowing down older iPhone batteries, @ClaudiaCowan1 reports. @ShepNewsTeam… https://t.co/6BxN8dRkuL",0.3612,0.185,0.815,0.0,Fri Dec 29 20:52:40 +0000 2017
73,Fox News,Bronx fire's multiple victims include young children and adults https://t.co/SZ2Bb9HZs0,-0.3182,0.0,0.796,0.204,Fri Dec 29 20:49:18 +0000 2017
74,Fox News,Major drug crackdown nets $1.93 million worth of meth and 14 arrests https://t.co/aWUigJdF1B,-0.25,0.12,0.696,0.184,Fri Dec 29 20:43:10 +0000 2017
75,Fox News,"Homeowners in high-tax states could take a hit under new GOP tax plan, @BlakeBurman reports. @ShepNewsTeam… https://t.co/8KNXHVnU6g",0.0,0.0,1.0,0.0,Fri Dec 29 20:36:33 +0000 2017
76,Fox News,BREAKING NEWS:  State Department releases Huma Abedin emails found on Anthony Weiner's laptop https://t.co/Bx0ThkO80E,0.0,0.0,1.0,0.0,Fri Dec 29 20:27:41 +0000 2017
77,Fox News,.@HeyTammyBruce: @realDonaldTrump Has Exposed 'Extreme Difference' in Media Coverage https://t.co/ELhSOYnCZJ,-0.0772,0.0,0.874,0.126,Fri Dec 29 20:18:46 +0000 2017
78,Fox News,Republic of Congo releases US citizen held for over a year https://t.co/Jou21xKujB,0.0,0.0,1.0,0.0,Fri Dec 29 20:14:45 +0000 2017
79,Fox News,"'Dr. Phil' show denies claims staffers gave guests drugs, alcohol before tapings https://t.co/1DbUyZHwD3",-0.4215,0.0,0.811,0.189,Fri Dec 29 20:10:32 +0000 2017
80,Fox News,President #Trump draws attention to case against ex-Dem IT aide Imran Awan https://t.co/Wi6VMTk3RL,0.0,0.0,1.0,0.0,Fri Dec 29 20:01:57 +0000 2017
81,Fox News,Brutal cold snap in northern U.S. draws concerns about hypothermia and frostbite https://t.co/5Ah6quPnMs https://t.co/oRnV0P1bBI,-0.6249,0.0,0.76,0.24,Fri Dec 29 19:52:06 +0000 2017
82,Fox News,"JUST IN: Sue Grafton, writer behind Kinsey Millhone Alphabet Series, dead at 77, daughter says https://t.co/UkR3paanHo",-0.6486,0.0,0.777,0.223,Fri Dec 29 19:45:26 +0000 2017
83,Fox News,South Korea holding crew of ship that allegedly gave oil to North Koreans https://t.co/42xgRYFVrk,0.0,0.0,1.0,0.0,Fri Dec 29 19:43:11 +0000 2017
84,Fox News,Hotel cleaning crews in China caught using toilet brushes to clean drinkware https://t.co/id4191trvh,0.4019,0.184,0.816,0.0,Fri Dec 29 19:38:45 +0000 2017
85,Fox News,Police warn against celebratory New Year's Eve gunfire https://t.co/tzXTqHLpgL,-0.1027,0.0,0.851,0.149,Fri Dec 29 19:34:21 +0000 2017
86,Fox News,In memoriam: Remembering those we lost in 2017 https://t.co/Ypujo9WFlv,-0.3182,0.0,0.777,0.223,Fri Dec 29 19:31:48 +0000 2017
